date,BTC,ETH,XRP,BNB,SOL,ADA,MATIC,SAND,MANA,ALGO
2022-01-15,59944.84000000,4628.10000000,1.08410000,688.00000000,205.50000000,1.79800000,3.26300000,6.73830000,2.98780000,1.37850000
2022-01-16,59810.51000000,4648.76000000,1.08100000,692.40000000,205.67000000,1.95600000,3.23200000,6.83160000,3.11650000,1.42900000
2022-01-17,58727.25000000,4464.67000000,1.06020000,661.50000000,194.41000000,2.22800000,3.08700000,6.41440000,2.90260000,1.34130000
2022-01-18,59039.63000000,4404.76000000,1.04680000,657.20000000,196.84000000,2.03600000,2.95600000,6.23590000,2.85580000,1.31690000
2022-01-19,57800.00000000,4279.62000000,1.02400000,642.90000000,187.78000000,1.85900000,2.81700000,5.85140000,2.73220000,1.26550000
2022-01-20,56444.91000000,4165.85000000,0.99980000,611.40000000,177.07000000,1.75000000,2.72500000,5.44440000,2.63160000,1.16160000
2022-01-21,50860.36000000,3580.31000000,0.88920000,535.80000000,157.17000000,1.56400000,2.37500000,4.68450000,2.21920000,1.03070000
2022-01-22,48987.59000000,3367.77000000,0.83290000,500.70000000,131.93000000,1.49400000,2.13200000,4.19110000,2.03710000,0.95140000
2022-01-23,50651.39000000,3547.89000000,0.87750000,536.50000000,138.93000000,1.57100000,2.25800000,4.37520000,2.11780000,0.98900000
2022-01-24,51402.64000000,3420.75000000,0.85700000,520.30000000,128.29000000,1.49400000,2.11100000,4.20100000,2.08150000,0.91250000
2022-01-25,51783.58000000,3445.23000000,0.86540000,538.90000000,132.28000000,1.46000000,2.18100000,4.25700000,2.09990000,0.92240000
2022-01-26,51814.40000000,3466.99000000,0.87110000,528.00000000,129.80000000,1.51500000,2.23400000,4.37890000,2.16150000,0.92310000
2022-01-27,52838.91000000,3446.04000000,0.86470000,554.20000000,127.35000000,1.48000000,2.26000000,4.80620000,2.25320000,0.93610000
2022-01-28,54042.00000000,3646.82000000,0.87680000,553.10000000,130.81000000,1.50100000,2.39600000,5.00820000,2.28190000,0.95840000
2022-01-29,54712.00000000,3730.46000000,0.88550000,558.40000000,137.95000000,1.51800000,2.43800000,5.57000000,2.37000000,0.96900000
2022-01-30,54235.31000000,3722.76000000,0.86140000,539.90000000,133.71000000,1.48200000,2.29600000,5.53210000,2.50410000,0.94470000
2022-01-31,54504.36000000,3804.19000000,0.87460000,530.00000000,141.28000000,1.48700000,2.33100000,5.80950000,2.82140000,0.94990000
2022-02-01,54336.07000000,3915.49000000,0.88300000,539.20000000,153.98000000,1.53700000,2.31400000,5.56130000,2.68460000,0.96630000
2022-02-02,51990.00000000,3776.15000000,0.84680000,517.60000000,143.86000000,1.44500000,2.17300000,5.17260000,2.54060000,0.92270000
2022-02-03,52070.74000000,3762.57000000,0.85130000,518.90000000,142.00000000,1.47900000,2.17000000,5.11940000,2.68130000,0.93570000
2022-02-04,58774.11000000,4232.84000000,0.92670000,564.50000000,159.21000000,1.60500000,2.39500000,5.68350000,2.81020000,0.99730000
2022-02-05,58689.62000000,4273.40000000,0.94580000,587.70000000,161.19000000,1.59500000,2.43100000,6.16900000,3.01170000,1.00150000
2022-02-06,59929.82000000,4324.88000000,0.96680000,594.60000000,163.35000000,1.61700000,2.45900000,6.54880000,3.29960000,1.02470000
2022-02-07,61661.74000000,4416.22000000,1.16940000,609.30000000,165.15000000,1.68600000,2.83900000,6.56590000,3.28630000,1.07000000
2022-02-08,61804.23000000,4371.55000000,1.22870000,572.60000000,159.06000000,1.65000000,2.72300000,6.74220000,3.47070000,1.02350000
2022-02-09,61953.49000000,4527.62000000,1.21460000,590.50000000,158.89000000,1.66400000,2.84000000,6.54950000,3.34450000,1.03630000
2022-02-10,60889.99000000,4298.60000000,1.15550000,580.60000000,148.57000000,1.61100000,2.65000000,6.13180000,3.13660000,0.98130000
2022-02-11,59596.17000000,4116.36000000,1.06720000,563.10000000,135.35000000,1.51800000,2.41000000,5.90790000,2.91890000,0.91610000
2022-02-12,59329.48000000,4101.86000000,1.15550000,567.20000000,134.89000000,1.48800000,2.38800000,5.90050000,2.90920000,0.91870000
2022-02-13,58993.06000000,4021.24000000,1.13000000,557.70000000,130.27000000,1.46300000,2.32100000,5.71290000,2.81900000,0.89650000
2022-02-14,59760.90000000,4114.08000000,1.12630000,566.60000000,135.57000000,1.47600000,2.32600000,5.65120000,2.84090000,0.89920000
2022-02-15,62400.00000000,4459.15000000,1.19280000,604.40000000,147.87000000,1.55300000,2.61900000,6.15780000,3.33510000,0.96900000
2022-02-16,61071.01000000,4346.30000000,1.16480000,594.90000000,141.59000000,1.50600000,2.55400000,5.79590000,3.26140000,0.97790000
2022-02-17,56548.06000000,4034.64000000,1.07180000,562.20000000,130.69000000,1.42500000,2.31900000,5.22050000,3.07680000,0.89720000
2022-02-18,55879.31000000,3883.76000000,1.09600000,557.30000000,125.77000000,1.39200000,2.22600000,5.02630000,2.96570000,0.89410000
2022-02-19,55981.17000000,3860.47000000,1.14830000,558.50000000,127.66000000,1.39600000,2.28000000,4.87870000,2.88750000,0.89940000
2022-02-20,53596.30000000,3656.54000000,1.08390000,531.40000000,126.29000000,1.30100000,2.11000000,4.46030000,2.69470000,0.84510000
2022-02-21,51637.01000000,3581.79000000,0.97830000,497.70000000,115.82000000,1.19500000,1.96400000,4.04660000,2.48270000,0.78470000
2022-02-22,52979.30000000,3655.13000000,1.00000000,519.00000000,119.86000000,1.23100000,2.02700000,4.39370000,2.64570000,0.81070000
2022-02-23,51534.07000000,3571.84000000,0.96450000,506.10000000,116.91000000,1.19700000,1.98700000,4.13370000,2.55420000,0.78500000
2022-02-24,53620.14000000,3632.35000000,0.97400000,505.10000000,125.15000000,1.19400000,2.01500000,4.22500000,2.58800000,0.77720000
2022-02-25,54412.98000000,3840.23000000,1.06780000,520.40000000,128.68000000,1.24600000,2.15000000,4.38620000,2.74010000,0.83010000
2022-02-26,54201.22000000,3850.00000000,1.04020000,518.10000000,124.99000000,1.23000000,2.10000000,4.29290000,2.68110000,0.85920000
2022-02-27,52536.17000000,3647.88000000,1.00510000,501.80000000,119.15000000,1.19400000,2.02500000,4.03450000,2.55760000,0.79780000
2022-02-28,59443.61000000,4025.27000000,1.07600000,544.50000000,137.45000000,1.32800000,2.22400000,4.41870000,2.84770000,0.86810000
2022-03-01,61297.38000000,4106.58000000,1.08190000,563.80000000,135.95000000,1.32800000,2.23700000,4.64290000,2.83920000,0.85650000
2022-03-02,60317.55000000,4046.23000000,1.05640000,562.10000000,138.08000000,1.28800000,2.24400000,4.50670000,2.75190000,0.81990000
2022-03-03,57952.35000000,3869.09000000,1.02670000,549.50000000,130.50000000,1.23200000,2.16500000,4.28560000,2.63690000,0.79660000
2022-03-04,53295.70000000,3570.92000000,0.97100000,510.60000000,120.00000000,1.14800000,2.01100000,3.96550000,2.47920000,0.75990000
2022-03-05,53660.68000000,3629.03000000,1.02660000,524.30000000,122.23000000,1.17800000,2.05600000,4.09580000,2.55830000,0.77350000
2022-03-06,52114.94000000,3460.29000000,0.98330000,508.40000000,114.76000000,1.11500000,1.94300000,3.85890000,2.41690000,0.74650000
2022-03-07,51877.61000000,3402.40000000,0.98340000,519.90000000,111.89000000,1.08500000,1.93000000,3.79760000,2.35440000,0.72790000
2022-03-08,53375.60000000,3552.79000000,0.99350000,526.30000000,113.50000000,1.10500000,1.99300000,3.88240000,2.39260000,0.73990000
2022-03-09,57388.46000000,3734.66000000,1.04720000,538.40000000,120.84000000,1.16000000,2.05900000,4.05280000,2.49440000,0.76710000
2022-03-10,53634.24000000,3545.92000000,1.00150000,506.30000000,112.74000000,1.09700000,1.95400000,3.86850000,2.37000000,0.73090000
2022-03-11,53190.61000000,3512.68000000,1.10300000,511.00000000,110.75000000,1.08500000,1.92900000,3.81130000,2.30570000,0.70140000
2022-03-12,53324.94000000,3530.53000000,1.07990000,512.10000000,111.82000000,1.08400000,1.91800000,3.81300000,2.30990000,0.70520000
2022-03-13,51881.12000000,3454.49000000,1.04380000,496.70000000,108.13000000,1.08300000,1.87100000,3.73610000,2.25140000,0.68070000
2022-03-14,54900.68000000,3583.74000000,1.07310000,516.80000000,112.10000000,1.11400000,1.90700000,3.80740000,2.30520000,0.70630000
2022-03-15,54578.87000000,3640.36000000,1.06430000,516.50000000,115.46000000,1.11200000,1.91400000,3.79130000,2.27230000,0.71590000
2022-03-16,56486.20000000,3811.00000000,1.08840000,529.40000000,120.68000000,1.15200000,2.01700000,4.47090000,2.49270000,0.73650000
2022-03-17,55565.25000000,3818.12000000,1.07730000,532.10000000,119.16000000,1.13500000,1.96500000,4.35060000,2.43970000,0.74180000
2022-03-18,56400.65000000,3973.41000000,1.07680000,536.40000000,121.49000000,1.14900000,2.02100000,4.33210000,2.45000000,0.75480000
2022-03-19,56960.46000000,3983.43000000,1.10620000,539.40000000,124.92000000,1.22000000,2.06500000,4.35600000,2.50590000,0.76490000
2022-03-20,55761.58000000,3866.69000000,1.08910000,528.10000000,119.60000000,1.18500000,1.97700000,4.17110000,2.39870000,0.74140000
2022-03-21,55487.72000000,3910.86000000,1.13300000,535.70000000,119.97000000,1.24300000,1.98200000,4.16270000,2.40410000,0.82760000
2022-03-22,56871.02000000,3987.02000000,1.12320000,542.30000000,121.35000000,1.31000000,2.02100000,4.18260000,2.43260000,0.82670000
2022-03-23,57339.92000000,4051.23000000,1.11830000,545.60000000,126.59000000,1.47900000,2.07800000,4.41360000,2.53800000,0.83880000
2022-03-24,58658.75000000,4147.90000000,1.12350000,552.50000000,136.51000000,1.50700000,2.17200000,4.62570000,2.69820000,0.89110000
2022-03-25,59162.43000000,4141.71000000,1.09980000,547.90000000,131.51000000,1.46500000,2.10600000,4.50130000,2.59070000,0.88870000
2022-03-26,59443.63000000,4200.03000000,1.11220000,555.70000000,135.93000000,1.54200000,2.15200000,4.54360000,2.61730000,0.91160000
2022-03-27,62356.27000000,4388.98000000,1.14170000,573.30000000,142.62000000,1.57600000,2.25500000,4.76420000,2.73610000,0.94930000
2022-03-28,62954.04000000,4450.31000000,1.15370000,573.70000000,141.18000000,1.56400000,2.21000000,4.62280000,2.67800000,0.90680000
2022-03-29,63207.05000000,4531.40000000,1.14290000,579.00000000,148.84000000,1.58800000,2.23300000,4.66140000,2.69610000,0.92300000
2022-03-30,62846.59000000,4520.02000000,1.14990000,592.10000000,160.98000000,1.59400000,2.24500000,4.70240000,2.70280000,0.92660000
2022-03-31,60917.26000000,4393.03000000,1.09050000,574.00000000,164.07000000,1.52700000,2.16300000,4.52420000,2.61350000,0.92930000
