time,tweet,cleaned_tweets,nltk_polarity
2022-05-27 05:49:04+00:00,"@chitaglorya__ @callmewinn8 @winnerchita yup, so many good crypto out there that i’ve diamond-handed. but personal favorite is $mca. can’t wait for the next bull run good chance to grap as $mca has a small dip. linktree: https://t.co/kaaa4capud #mechamaster #metaverse #stakenplay #play2earn #nftgiveaway #bsc",yup good crypto ve diamond handed personal favorite mca t wait bull run good chance grap mca small dip linktree mechamaster metaverse stakenplay playearn nftgiveaway bsc,0.9042
2022-05-27 05:49:04+00:00,@notboredape_sol and there is a thief. https://t.co/80wyvknuqs,thief,-0.5267
2022-05-27 05:49:04+00:00,@amyschu35448046 @nft_adidas @the_crypto_goon @mszab_eth @nwoko_peter @cryptospika @garlictonenft @adriaensdonnie @kushd_talks @_willeee91_ @sobranie_pinks @rudeboyrasta8o8 @usefbagheri @whipcreamed1 @hczmoron550 dragon tacoon are you ready to let your bnb work4u? dapp read&amp;tested https://t.co/bhnq1nnjs2 website https://t.co/w9zd04gnrf invite friends &amp; earn 8%each of them join us now! 2812,dragon tacoon ready let bnb worku dapp read amp tested website invite friends amp earn  join ,0.8126
2022-05-27 05:49:04+00:00,"@abnormal_crypto when trading futures, you must be observant and steady on the trade, do not think its just like any other trade, focus and make sure you always take profit. let's trade more https://t.co/wai8kitzd9 https://t.co/bnwyga17bw",trading futures observant steady trade think like trade focus sure profit let s trade,0.7717
2022-05-27 05:49:04+00:00,@crypto_pb whats the best thing on l2.o,whats best thing l o,0.6369
2022-05-27 07:16:16+00:00,where did it all go wrong after that yolo trade? now you're stuck figuring out how to do your crypto taxes. catax is here for you! @cataxapp @ali59070083 @devd47133047 https://t.co/bhygodqyiu,wrong yolo trade stuck figuring crypto taxes catax,-0.4588
2022-05-27 07:16:16+00:00,@boklnft congratulations! you are eligible to mint. @jjosh88 @baimbaim14 @paul27005466 @khim030006 @d8nijiaghieimx4 @8cherrylicious8 @crypto___web3 @investkeeper_ @restuadd @ifeiyue @manmeetsmagic @yellow_3th @planet2578,congratulations eligible mint,0.5994
2022-05-27 07:16:17+00:00,"@senderwallet @_futuredex_ as a non-custodial wallet,do you plan to reach to the newbie crypto users as a target audience?how easy will you try to do your wallet so people who got involved with crypto can use all the features without getting in so much trouble?",non custodial wallet plan reach newbie crypto users target audience easy try wallet people got involved crypto use features getting trouble,0.0772
2022-05-27 07:16:17+00:00,@hayess5178 @blockchainsanta @xmaximist @the_flash_g @0xradar @binancegirls @martaverse @donyakka @ravercrypto @lesbianbitcoin @mojo_crypto_btc @bigchiefcrypto @inspocrypto @jlbtc @teaching_crypto thank you simon! we stay strong 💯,thank simon stay strong,0.7003
2022-05-27 07:16:17+00:00,"@_crypto_pirates this project is a good and strong team, in a predictable and transparent road map, planned and predicted growth of both the campaign. #gamefi #crypto #bsc #bnbchain #binance #nft #metaverse #cryptopirates #pst #p2egame #game #cryptocurrecy #newgem",project good strong team predictable transparent road map planned predicted growth campaign gamefi crypto bsc bnbchain binance nft metaverse cryptopirates pst pegame game cryptocurrecy newgem,0.8316
2022-05-27 07:16:18+00:00,@koffieu @trappedtiles @crypto__emily @gorillafeeder @bigshibainu @ste_cha_feg @crypt0mummy @next100xgems @paulbaggaley2 a launch of an exciting huge crypto is what everyone needs might now 🪄🐕,launch exciting huge crypto needs,0.6705
2022-05-27 07:16:18+00:00,news | crypto spam increases 4000% in two years: lunarcrush #crypto https://t.co/4sx8ias365,news crypto spam increases  years lunarcrush crypto,-0.3612
2022-05-27 07:16:19+00:00,@crypto__emily buy $marvin!!! this is your opportunity to load up cheap because when $marvin takes off its headed to multi billion 💎🐕🙏dollar market cap. that's a #100x from here!!😊💯💰,buy marvin opportunity load cheap marvin takes headed multi billion dollar market cap s x,0.4215
2022-05-27 07:16:19+00:00,"our whitpaper has been updated, check it in our discord. https://t.co/7wuzk9ypwq #staratlas #staratlasgame #atlas #solana #ustur #gua #metaverse #nft #crypto #phantom #guildstaratlas #guild #bitcoin #btc #globalusturalliance",whitpaper updated check discord staratlas staratlasgame atlas solana ustur gua metaverse nft crypto phantom guildstaratlas guild bitcoin btc globalusturalliance,-0.4019
2022-05-27 07:16:20+00:00,🚨🚨🚨 crypto alert: [#mc-#usdt] resistance level breakout detected (1h) #crypto #nft #metaverse #binance #cryptocurrency https://t.co/fs9vqoayle,crypto alert mc usdt resistance level breakout detected h crypto nft metaverse binance cryptocurrency,0.296
2022-05-27 08:43:32+00:00,@cryptofeather_ @fabian_crypto hoping for my first win https://t.co/ow5t6e3fk2,hoping win,0.765
2022-05-27 08:43:32+00:00,@mbenft @primatesnft @rracoonclub @camochameleonc @zeninnft @shisokanft @suteki_nft @k_mechanics @crazycatznft @gangstagoonz @ecotars @gakko_monkez @ethereal_solana @fashionfoxies income bear hero club is solana's next greatest nft collection!🚀 mint date: june 1 🔥 set your alarms expected to sell out quickly!! mint location: https://t.co/0ywnvfey6h #sol #solananft #nft #nftcommmunity #nftcollection #mintingsoon https://t.co/j3ocimoub5,income bear hero club solana s greatest nft collection mint date june  set alarms expected sell quickly mint location sol solananft nft nftcommmunity nftcollection mintingsoon,0.7717
2022-05-27 08:43:33+00:00,"@elonmusk @occupymars42069 @bluesparroweth simple exchange of #bluebit to buy/sell #bluesparrow to usdt/usd... the most innovative move in #bluebit trading crypto/forex with #bluesparrow you can trade #bluesparrow using market, limit and simple exchange features. #bluesparrow #bluebitio @bluesparroweth ♥️214",simple exchange bluebit buy sell bluesparrow usdt usd innovative bluebit trading crypto forex bluesparrow trade bluesparrow market limit simple exchange features bluesparrow bluebitio ,0.4404
2022-05-27 08:43:33+00:00,@coinmarketcap @thetanarena looking for a trusted and reliable crypto platform? search no more cause @altbaseapp is here!!! for a cool and better easy trading.. fast and simple crypto exchange.... understandable crypto activities.... and much more #bsc #bscgem #cryptocurrency https://t.co/rnsg80c8cr,looking trusted reliable crypto platform search cause cool better easy trading fast simple crypto exchange understandable crypto activities bsc bscgem cryptocurrency,0.8807
2022-05-27 08:43:33+00:00,"@elonmusk @occupymars42069 @bluesparroweth simple exchange of #bluebit to buy/sell #bluesparrow to usdt/usd... the most innovative move in #bluebit trading crypto/forex with #bluesparrow you can trade #bluesparrow using market, limit and simple exchange features. #bluesparrow #bluebitio @bluesparroweth ♥️213",simple exchange bluebit buy sell bluesparrow usdt usd innovative bluebit trading crypto forex bluesparrow trade bluesparrow market limit simple exchange features bluesparrow bluebitio ,0.4404
2022-05-27 08:43:33+00:00,"@elonmusk @occupymars42069 @bluesparroweth simple exchange of #bluebit to buy/sell #bluesparrow to usdt/usd... the most innovative move in #bluebit trading crypto/forex with #bluesparrow you can trade #bluesparrow using market, limit and simple exchange features. #bluesparrow #bluebitio @bluesparroweth ♥️212",simple exchange bluebit buy sell bluesparrow usdt usd innovative bluebit trading crypto forex bluesparrow trade bluesparrow market limit simple exchange features bluesparrow bluebitio ,0.4404
2022-05-27 08:43:34+00:00,"@elonmusk @occupymars42069 @bluesparroweth simple exchange of #bluebit to buy/sell #bluesparrow to usdt/usd... the most innovative move in #bluebit trading crypto/forex with #bluesparrow you can trade #bluesparrow using market, limit and simple exchange features. #bluesparrow #bluebitio @bluesparroweth ♥️217",simple exchange bluebit buy sell bluesparrow usdt usd innovative bluebit trading crypto forex bluesparrow trade bluesparrow market limit simple exchange features bluesparrow bluebitio ,0.4404
2022-05-27 08:43:34+00:00,"@elonmusk @occupymars42069 @bluesparroweth simple exchange of #bluebit to buy/sell #bluesparrow to usdt/usd... the most innovative move in #bluebit trading crypto/forex with #bluesparrow you can trade #bluesparrow using market, limit and simple exchange features. #bluesparrow #bluebitio @bluesparroweth ♥️216",simple exchange bluebit buy sell bluesparrow usdt usd innovative bluebit trading crypto forex bluesparrow trade bluesparrow market limit simple exchange features bluesparrow bluebitio ,0.4404
2022-05-27 08:43:36+00:00,"@elonmusk @occupymars42069 @bluesparroweth simple exchange of #bluebit to buy/sell #bluesparrow to usdt/usd... the most innovative move in #bluebit trading crypto/forex with #bluesparrow you can trade #bluesparrow using market, limit and simple exchange features. #bluesparrow #bluebitio @bluesparroweth ♥️218",simple exchange bluebit buy sell bluesparrow usdt usd innovative bluebit trading crypto forex bluesparrow trade bluesparrow market limit simple exchange features bluesparrow bluebitio ,0.4404
2022-05-27 08:43:37+00:00,"@elonmusk @occupymars42069 @bluesparroweth simple exchange of #bluebit to buy/sell #bluesparrow to usdt/usd... the most innovative move in #bluebit trading crypto/forex with #bluesparrow you can trade #bluesparrow using market, limit and simple exchange features. #bluesparrow #bluebitio @bluesparroweth ♥️219",simple exchange bluebit buy sell bluesparrow usdt usd innovative bluebit trading crypto forex bluesparrow trade bluesparrow market limit simple exchange features bluesparrow bluebitio ,0.4404
2022-05-27 08:43:37+00:00,very great project for crypto assetheavy dollar sign this project is very good and strong team i believe the project is a success and then it becomes one of the best crypto let's go to the moon @niloy15700191 @niloy46685793 @morshedleion @nihalvai33 @mashrafi9591061 https://t.co/mkquvhfety,great project crypto assetheavy dollar sign project good strong team believe project success best crypto let s moon,0.9595
2022-05-27 08:43:37+00:00,3/ also ethereum’s vitalik buterin has emphasized the importance- of double-checking defi systems before making investments https://t.co/gysadyzqbx, ethereum s vitalik buterin emphasized importance double checking defi systems making investments,0.3612
2022-05-27 08:43:37+00:00,crypto spam increases 4000% in two years: lunarcrush https://t.co/twfakggagm via @cointelegraph,crypto spam increases  years lunarcrush,-0.3612
2022-05-27 10:10:48+00:00,"if you're a trader, you need to know your tax liability and the best way to deal with it. catax - simple crypto taxes helps you get there! @cataxapp @theparys @ravi56125618 https://t.co/jkjekx942u",trader need know tax liability best way deal catax simple crypto taxes helps,0.7184
2022-05-27 10:10:48+00:00,".@diariobitcoin $xcn gained 62.82% today and is leading the charts! 🚀 for more visuals 👉 https://t.co/ll9ajrwqre stay up-to-date, follow: @coinparticle #xcn $xcn #chain #bitcon #crypto https://t.co/senpi1bhek",xcn gained   today leading charts visuals stay date follow xcn xcn chain bitcon crypto,0.3818
2022-05-27 10:10:48+00:00,@garitoken ✅diamondlock the best auto-staking&amp;auto-compounding protocol in crypto! ✅highest apy – 533.848%/year! ✅anti-whale/ anti dump mechanism - the cash-out limit is 1%/day to against unnecessary dumps. ✅risk insurance banks maximize investitor! telegram : https://t.co/9lrgu4jrsb,diamondlock best auto staking amp auto compounding protocol crypto highest apy   year anti whale anti dump mechanism cash limit  day unnecessary dumps risk insurance banks maximize investitor telegram,-0.7003
2022-05-27 10:10:49+00:00,@creditcoin ✅diamondlock the best auto-staking&amp;auto-compounding protocol in crypto! ✅highest apy – 533.848%/year! ✅anti-whale/ anti dump mechanism - the cash-out limit is 1%/day to against unnecessary dumps. ✅risk insurance banks maximize investitor! telegram : https://t.co/ot50uynggr,diamondlock best auto staking amp auto compounding protocol crypto highest apy   year anti whale anti dump mechanism cash limit  day unnecessary dumps risk insurance banks maximize investitor telegram,-0.7003
2022-05-27 10:10:50+00:00,"@cryptowolfchat @teleportchain how will avania resolve three major pain points for crypto investors: diversity, value, and convenience? which specific about technology and stategy of avania that make you believe it will be successful?",avania resolve major pain points crypto investors diversity value convenience specific technology stategy avania believe successful,0.6705
2022-05-27 10:10:50+00:00,@frankdegods @solkidsnfts such a great community! minting in june with a doxx team and lots of giveaways! #solananfts #sol #solanasummer https://t.co/4q0q8ympul,great community minting june doxx team lots giveaways solananfts sol solanasummer,0.6249
2022-05-27 10:10:51+00:00,@jackquelinethe9 @crypto_lover33 @zooniesxyz @janssen2alana @terpstra42 @dickensgiovann1 dragon tacoon are you ready to let your bnb work4u? dapp read&amp;tested https://t.co/mvwkpjullv website https://t.co/bsukuazrr0 invite friends &amp; earn 8%each of them join us now!#1998,dragon tacoon ready let bnb worku dapp read amp tested website invite friends amp earn  join ,0.8126
2022-05-27 10:10:51+00:00,@crypto__stars @huobinft 🎯🎯🎯👇 can you share your social media links so we can keep ourselves updated? .......???,share social media links updated,0.296
2022-05-27 10:10:51+00:00,"what is terra 2.0? crypto exchanges, tech entrepreneurs divided on supporting new terra-luna revival plan https://t.co/kykwtpgnkz https://t.co/8bswjxo0d8",terra   crypto exchanges tech entrepreneurs divided supporting new terra luna revival plan,0.4404
2022-05-27 10:10:52+00:00,"@kverso_crypto @gate_nft @breederdodo @dfinity specially thanks sir, for sharing a great project.i hope this project future is bright more success again thanks for giving us such a great opportunity.i am enthusiastic about participating in this and also supporting it❤️❤️ @mominulbd24 @imteaz_hossen @khantong17 @mannansheik8",specially thanks sir sharing great project hope project future bright success thanks giving great opportunity enthusiastic participating supporting,0.9887
2022-05-27 10:10:52+00:00,@barndog_solana @stepnofficial @jason_stepn @barndog_solana @stepnofficial @alchemypay @nft_adidas i'm waiting for the first common box. thanks a lot,m waiting common box thanks lot,0.4404
2022-05-27 10:10:52+00:00,@texas_tornado @ordinarygamers it's actually pretty hard to buy crypto while being under 18 years old but extremely easy to get alcohol,s actually pretty hard buy crypto  years old extremely easy alcohol,0.7178
2022-05-27 10:10:52+00:00,"@binance biggest crypto bag! 💰 @gankpad the next 1000x gem! $gank 💸 lfg! team is insane, community is growing fast! bullish af! https://t.co/wwiuamw46i @thecryptolark dont miss this opportunity. #gankpad #launchpad $gank #bscgem #gankarmy",biggest crypto bag x gem gank lfg team insane community growing fast bullish af dont miss opportunity gankpad launchpad gank bscgem gankarmy,-0.4382
2022-05-27 10:10:53+00:00,@cccprotocol @kverso_crypto this is a great project undoubtedly @iam_kalaam @codsmartgy @yahaaya,great project undoubtedly,0.6249
2022-05-27 11:38:05+00:00,"i love when tragedy happens in our country, because it really shows how much people actively ignore issues. 21 people murdered in a school, and people are talking about “tough day in the crypto market”.",love tragedy happens country shows people actively ignore issues  people murdered school people talking tough day crypto market,-0.743
